DATE,TB3MS
1934-01-01,0.24
1934-04-01,0.15
1934-07-01,0.21
1934-10-01,0.23
1935-01-01,0.15
1935-04-01,0.15
1935-07-01,0.20
1935-10-01,0.15
1936-01-01,0.20
1936-04-01,0.20
1936-07-01,0.16
1936-10-01,0.12
1937-01-01,0.38
1937-04-01,0.36
1937-07-01,0.31
1937-10-01,0.11
1938-01-01,0.08
1938-04-01,0.05
1938-07-01,0.08
1938-10-01,0.03
1939-01-01,0.03
1939-04-01,0.03
1939-07-01,0.14
1939-10-01,0.04
1940-01-01,0.02
1940-04-01,0.10
1940-07-01,0.05
1940-10-01,0.02
1941-01-01,0.11
1941-04-01,0.12
1941-07-01,0.10
1941-10-01,0.33
1942-01-01,0.25
1942-04-01,0.37
1942-07-01,0.38
1942-10-01,0.38
1943-01-01,0.38
1943-04-01,0.38
1943-07-01,0.38
1943-10-01,0.38
1944-01-01,0.38
1944-04-01,0.38
1944-07-01,0.38
1944-10-01,0.38
1945-01-01,0.38
1945-04-01,0.38
1945-07-01,0.38
1945-10-01,0.38
1946-01-01,0.38
1946-04-01,0.38
1946-07-01,0.38
1946-10-01,0.38
1947-01-01,0.38
1947-04-01,0.38
1947-07-01,0.80
1947-10-01,0.95
1948-01-01,1.00
1948-04-01,1.00
1948-07-01,1.09
1948-10-01,1.16
1949-01-01,1.17
1949-04-01,1.17
1949-07-01,1.07
1949-10-01,1.10
1950-01-01,1.12
1950-04-01,1.15
1950-07-01,1.30
1950-10-01,1.34
1951-01-01,1.40
1951-04-01,1.45
1951-07-01,1.63
1951-10-01,1.73
1952-01-01,1.59
1952-04-01,1.70
1952-07-01,1.71
1952-10-01,2.09
1953-01-01,2.01
1953-04-01,2.11
1953-07-01,1.79
1953-10-01,1.60
1954-01-01,1.03
1954-04-01,0.64
1954-07-01,1.01
1954-10-01,1.15
1955-01-01,1.28
1955-04-01,1.41
1955-07-01,2.07
1955-10-01,2.54
1956-01-01,2.25
1956-04-01,2.49
1956-07-01,2.84
1956-10-01,3.21
1957-01-01,3.08
1957-04-01,3.29
1957-07-01,3.53
1957-10-01,3.04
1958-01-01,1.30
1958-04-01,0.83
1958-07-01,2.44
1958-10-01,2.77
1959-01-01,2.80
1959-04-01,3.21
1959-07-01,4.04
1959-10-01,4.49
1960-01-01,3.31
1960-04-01,2.46
1960-07-01,2.48
1960-10-01,2.25
1961-01-01,2.39
1961-04-01,2.33
1961-07-01,2.28
1961-10-01,2.60
1962-01-01,2.72
1962-04-01,2.73
1962-07-01,2.78
1962-10-01,2.87
1963-01-01,2.89
1963-04-01,2.99
1963-07-01,3.38
1963-10-01,3.52
1964-01-01,3.54
1964-04-01,3.48
1964-07-01,3.53
1964-10-01,3.84
1965-01-01,3.93
1965-04-01,3.80
1965-07-01,3.92
1965-10-01,4.38
1966-01-01,4.59
1966-04-01,4.50
1966-07-01,5.37
1966-10-01,4.96
1967-01-01,4.26
1967-04-01,3.54
1967-07-01,4.42
1967-10-01,4.97
1968-01-01,5.17
1968-04-01,5.52
1968-07-01,5.19
1968-10-01,5.96
1969-01-01,6.02
1969-04-01,6.44
1969-07-01,7.09
1969-10-01,7.82
1970-01-01,6.63
1970-04-01,6.68
1970-07-01,6.12
1970-10-01,4.87
1971-01-01,3.38
1971-04-01,4.75
1971-07-01,4.69
1971-10-01,4.01
1972-01-01,3.73
1972-04-01,3.91
1972-07-01,4.66
1972-10-01,5.07
1973-01-01,6.09
1973-04-01,7.19
1973-07-01,8.29
1973-10-01,7.45
1974-01-01,7.96
1974-04-01,7.90
1974-07-01,8.06
1974-10-01,7.15
1975-01-01,5.49
1975-04-01,5.34
1975-07-01,6.42
